"sample_name","scandir","heightstep","suffix","ring"
"cerebellum_tile1","039_GMB_tileRingMixScan_4rings_7scans",1,0,1
"cerebellum_tile1","039_GMB_tileRingMixScan_4rings_7scans",1,1,2
"cerebellum_tile1","038_GMB_tileRingMixScan_5rings_7scans",1,2,3
"cerebellum_tile1","039_GMB_tileRingMixScan_4rings_7scans",1,3,4
