sample_name,scandir,heightstep,suffix,ring
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring,7,z0_x0_1,1
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring,7,z0_x1_1,2
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring,7,z0_x2_1,3
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring,7,z0_x3_1,4
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring,6,z1_x0,1
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,6,z1_x1_1,2
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring,6,z1_x2,3
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring,6,z1_x3,4
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,5,z2_x0,1
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,5,z2_x1,2
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,5,z2_x2,3
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,5,z2_x3,4
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,4,z3_x0,1
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,4,z3_x1,2
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,4,z3_x2,3
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,4,z3_x3,4
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,3,z4_x0,1
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,3,z4_x1,2
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,3,z4_x2,3
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,3,z4_x3,4
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,2,z5_x0,1
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,2,z5_x1,2
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,2,z5_x2,3
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,2,z5_x3,4
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,1,z6_x0,1
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,1,z6_x1,2
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,1,z6_x2,3
mouse89875_5323,024_Mouse89875_5323_eth_9000proj_ring_redo,1,z6_x3,4
